annotation_id,species,occ,length_cm,mobilenet_err,clip_err,clip_minus_mobilenet
6721,cod,non-occluded,26.5,1.021270751953125,0.30935096740722656,-0.7119197845458984
6722,haddock,non-occluded,35.0,0.455413818359375,0.639984130859375,0.1845703125
6723,other,non-occluded,25.0,4.552160263061523,0.0987777709960973,-4.453382492065426
6724,haddock,non-occluded,29.5,0.45144844055176137,0.08914375305176137,-0.3623046875
6725,cod,non-occluded,33.0,0.9508705139160156,0.7896270751953125,-0.16124343872070312
6726,haddock,non-occluded,28.5,0.20391845703125,0.3943729400634801,0.19045448303223012
6727,hake,non-occluded,36.5,0.6408729553222656,0.5961837768554688,-0.044689178466796875
6728,haddock,non-occluded,30.0,0.17395973205566406,0.6154994964599609,0.4415397644042969
6729,cod,non-occluded,28.0,0.7488002777099609,0.36734199523925426,-0.3814582824707067
6730,cod,non-occluded,25.5,0.30925941467285156,0.9960308074951207,0.6867713928222692
6731,cod,non-occluded,31.5,0.8218460083007812,0.3295459747314453,-0.49230003356933594
6732,hake,non-occluded,41.5,1.5846939086914062,0.6147689819335938,-0.9699249267578125
6733,cod,non-occluded,26.5,0.1525707244873047,0.8369846343994176,0.6844139099121129
6734,haddock,non-occluded,35.0,0.18607330322265625,0.7327117919921875,0.5466384887695312
6735,other,non-occluded,25.0,0.3695201873779297,0.802099227905277,0.4325790405273473
6736,haddock,non-occluded,29.5,0.2387599945068395,0.8157310485839844,0.5769710540771449
6737,cod,non-occluded,33.0,0.4453163146972656,0.4639244079589844,0.01860809326171875
6738,haddock,non-occluded,28.5,0.2926769256591797,0.7552509307861328,0.4625740051269531
6739,hake,non-occluded,36.5,1.2285690307617188,0.01752471923828125,-1.2110443115234375
6740,haddock,non-occluded,30.0,0.3543701171875,0.46083068847655895,0.10646057128905895
6741,cod,non-occluded,28.0,0.63287353515625,0.8705692291259766,0.23769569396972656
6742,cod,non-occluded,25.5,0.156585693359375,1.385147094726559,1.228561401367184
6743,cod,non-occluded,31.5,1.2388381958007812,0.6843338012695312,-0.55450439453125
6744,hake,non-occluded,41.5,1.3506622314453125,1.4467010498046875,0.096038818359375
6745,cod,non-occluded,26.5,0.6580848693847692,0.08874130249023438,-0.5693435668945348
6746,haddock,non-occluded,35.0,1.0251007080078125,0.7764472961425781,-0.24865341186523438
6747,other,non-occluded,25.0,1.8376903533935547,0.2840137481689453,-1.5536766052246094
6748,haddock,non-occluded,29.5,0.2583236694335973,0.316650390625,0.0583267211914027
6749,cod,non-occluded,33.0,0.1767730712890625,0.16576004028320312,-0.011013031005859375
6750,haddock,non-occluded,28.5,0.5777721405029297,0.6315822601318395,0.0538101196289098
6751,hake,non-occluded,36.5,0.10326385498046875,0.3271484375,0.22388458251953125
6752,haddock,non-occluded,30.0,0.054355621337890625,0.9926891326904297,0.9383335113525391
6753,cod,non-occluded,28.0,1.1364593505859375,0.1381969451904297,-0.9982624053955078
6754,cod,non-occluded,25.5,0.060390472412109375,0.11416053771972301,0.053770065307613635
6755,cod,non-occluded,31.5,0.83001708984375,1.5034637451171875,0.6734466552734375
6756,hake,non-occluded,41.5,0.9114913940429688,0.5559577941894531,-0.3555335998535156
6757,cod,non-occluded,26.5,0.1767425537109375,0.7120380401611328,0.5352954864501953
6758,haddock,non-occluded,35.0,0.07302093505859375,1.721832275390625,1.6488113403320312
6759,other,non-occluded,25.0,6.910539627075195,1.6670494079589844,-5.243490219116211
6760,haddock,non-occluded,29.5,0.05763816833496094,0.18406295776367188,0.12642478942871094
6761,cod,non-occluded,33.0,0.8462600708007812,1.0375308990478516,0.1912708282470703
6762,haddock,non-occluded,28.5,0.5663967132568395,0.35021018981933594,-0.21618652343750355
6763,hake,non-occluded,36.5,0.15234375,0.4098205566406321,0.2574768066406321
6764,haddock,non-occluded,30.0,0.29031562805176137,0.04851722717285156,-0.2417984008789098
6765,cod,non-occluded,28.0,0.7643795013427734,0.7290210723876918,-0.03535842895508168
6766,cod,non-occluded,25.5,0.5009651184082031,1.180868148803711,0.6799030303955078
6767,cod,non-occluded,31.5,0.8305931091308594,0.9117717742919922,0.08117866516113281
6768,hake,non-occluded,41.5,1.4921875,2.0276947021484375,0.5355072021484375
6769,cod,non-occluded,26.5,0.6875247955322266,0.5953083038330078,-0.09221649169921875
6770,haddock,non-occluded,35.0,0.09991836547852273,1.4796524047851562,1.3797340393066335
6771,other,non-occluded,25.0,0.3615818023681605,0.05467796325683949,-0.306903839111321
6772,haddock,non-occluded,29.5,0.5222816467285156,1.2863407135009766,0.7640590667724609
6773,cod,non-occluded,33.0,0.4755516052246094,0.45980072021484375,-0.015750885009765625
6774,haddock,non-occluded,28.5,0.5769824981689453,0.426610946655277,-0.15037155151366832
6775,hake,non-occluded,36.5,0.1131744384765625,1.9930915832519531,1.8799171447753906
6776,haddock,non-occluded,30.0,0.31589698791503906,0.241846084594723,-0.07405090332031605
6777,cod,non-occluded,28.0,0.08666610717773082,0.6840629577636719,0.597396850585941
6778,cod,non-occluded,25.5,0.07244682312012074,1.1376953125,1.0652484893798793
6779,cod,non-occluded,31.5,1.3256874084472656,1.3512611389160156,0.02557373046875
6780,hake,non-occluded,41.5,0.8040542602539062,0.59674072265625,-0.20731353759765625
6781,cod,non-occluded,26.5,0.40660858154296875,0.5464763641357457,0.139867782592777
6782,haddock,non-occluded,35.0,0.725250244140625,1.3741531372070312,0.6489028930664062
6783,other,non-occluded,25.0,1.0854625701904297,0.26560020446777344,-0.8198623657226562
6784,haddock,non-occluded,29.5,0.16267967224121094,0.19361495971679688,0.030935287475585938
