annotation_id,species,occ,set_name,group,length_cm,mobilenet_err,mobilenet_pred,dino_err,dino_pred,dino_minus_mobilenet_err
10585,other,occluded,All,14,22.5,0.6968193054199183,23.19681930541992,16.16396713256836,38.66396713256836,15.467147827148441
7583,other,occluded,All,10,25.0,0.051662445068359375,24.94833755493164,13.192745208740241,38.19274520874024,13.141082763671882
10062,other,non-occluded,Set2,14,22.5,1.1249294281005824,23.624929428100582,13.487640380859375,35.987640380859375,12.362710952758793
10212,other,non-occluded,Set2,14,22.5,0.5668983459472656,23.066898345947266,12.119789123535163,34.61978912353516,11.552890777587898
10151,other,non-occluded,Set2,14,22.5,0.6060256958007812,23.10602569580078,12.114452362060547,34.61445236206055,11.508426666259766
10092,other,non-occluded,Set2,14,22.5,0.6782016754150391,23.17820167541504,11.981964111328125,34.481964111328125,11.303762435913086
10503,other,occluded,All,14,22.5,0.830963134765625,23.330963134765625,11.849674224853523,34.34967422485352,11.018711090087898
10356,other,occluded,All,14,22.5,0.7306118011474609,23.23061180114746,11.415084838867188,33.91508483886719,10.684473037719727
14473,other,occluded,All,20,26.0,1.7015972137451207,27.70159721374512,12.347824096679688,38.34782409667969,10.646226882934567
10132,other,non-occluded,Set2,14,22.5,1.9224414825439453,24.422441482543945,12.464286804199219,34.96428680419922,10.541845321655273
10564,other,occluded,All,14,22.5,1.4433765411376918,23.94337654113769,11.81732177734375,34.31732177734375,10.373945236206058
10112,other,non-occluded,Set2,14,22.5,0.5939445495605469,23.093944549560547,10.794120788574219,33.29412078857422,10.200176239013672
10032,other,non-occluded,Set2,14,22.5,0.6383781433105469,23.138378143310547,10.83755111694336,33.33755111694336,10.199172973632812
10161,other,non-occluded,Set2,14,22.5,0.77862548828125,23.27862548828125,10.911155700683594,33.411155700683594,10.132530212402344
10082,other,non-occluded,Set2,14,22.5,1.1462879180908203,23.64628791809082,11.171939849853523,33.67193984985352,10.025651931762702
14601,other,occluded,All,20,26.0,0.3234138488769531,25.676586151123047,10.011871337890625,36.011871337890625,9.688457489013672
6735,other,non-occluded,Set1,10,25.0,0.3695201873779297,25.36952018737793,10.007171630859375,35.007171630859375,9.637651443481445
10250,other,occluded,All,14,22.5,0.9244632720947266,23.424463272094727,10.394493103027344,32.894493103027344,9.470029830932617
10042,other,non-occluded,Set2,14,22.5,0.6634654998779297,23.16346549987793,10.113109588623047,32.61310958862305,9.449644088745117
10397,other,occluded,All,14,22.5,0.08757781982421875,22.58757781982422,9.436956405639648,31.93695640563965,9.34937858581543
10182,other,non-occluded,Set2,14,22.5,0.12352561950683949,22.62352561950684,9.421571731567383,31.921571731567383,9.298046112060543
14741,other,occluded,All,20,26.0,0.05422401428222656,25.945775985717773,9.329936981201172,35.32993698120117,9.275712966918945
14758,other,occluded,All,20,26.0,2.1964473724365234,28.196447372436523,11.093475341796882,37.09347534179688,8.897027969360359
10052,other,non-occluded,Set2,14,22.5,0.9092178344726562,23.409217834472656,9.790847778320312,32.29084777832031,8.881629943847656
14649,other,occluded,All,20,26.0,1.4324226379394531,24.567577362060547,10.033096313476562,36.03309631347656,8.60067367553711
10376,other,occluded,All,14,22.5,0.39058685302734375,22.109413146972656,8.977497100830082,31.47749710083008,8.586910247802738
10191,other,non-occluded,Set2,14,22.5,1.1806926727294886,23.68069267272949,9.324542999267575,31.824542999267575,8.143850326538086
10102,other,non-occluded,Set2,14,22.5,1.408956527709961,23.90895652770996,9.36288833618164,31.86288833618164,7.95393180847168
10122,other,non-occluded,Set2,14,22.5,1.0510330200195312,23.55103302001953,8.94390869140625,31.44390869140625,7.892875671386719
10171,other,non-occluded,Set2,14,22.5,1.4145069122314453,23.914506912231445,9.290971755981445,31.790971755981445,7.87646484375
10606,other,occluded,All,14,22.5,0.4735126495361328,22.973512649536133,8.34740257263184,30.84740257263184,7.873889923095707
14313,other,non-occluded,Set2,20,26.0,0.36044120788574574,25.639558792114254,8.174644470214844,34.174644470214844,7.814203262329098
14726,other,occluded,All,20,26.0,0.26944732666015625,25.730552673339844,7.991600036621094,33.991600036621094,7.7221527099609375
7492,other,occluded,All,10,25.0,0.4180488586425746,24.581951141357425,8.139114379882812,33.13911437988281,7.721065521240238
10461,other,occluded,All,14,22.5,4.73298454284668,27.23298454284668,12.434322357177734,34.934322357177734,7.701337814331055
10239,other,occluded,All,14,22.5,2.7577953338623047,25.257795333862305,10.179244995117188,32.67924499511719,7.421449661254883
10626,other,occluded,All,14,22.5,3.539175033569336,26.039175033569336,10.944595336914062,33.44459533691406,7.405420303344727
14296,other,non-occluded,Set2,20,26.0,0.24547958374023082,25.75452041625977,7.584358215332031,33.58435821533203,7.3388786315918
10492,other,occluded,All,14,22.5,0.38258934020996094,22.88258934020996,7.720066070556641,30.22006607055664,7.33747673034668
10142,other,non-occluded,Set2,14,22.5,1.3570060729980469,23.857006072998047,8.624042510986328,31.124042510986328,7.267036437988281
14693,other,occluded,All,20,26.0,0.2712116241455078,26.271211624145508,7.465354919433594,33.465354919433594,7.194143295288086
14616,other,occluded,All,20,26.0,0.6003322601318359,25.399667739868164,7.777610778808594,33.777610778808594,7.177278518676758
